0.500000        0.2500000000	0.125
1.000000        1.0000000000	1
1.500000        2.2500000000	3.375
2.000000        4.0000000000	8
2.500000        6.2500000000	15.625
3.000000        9.0000000000	27
3.500000       12.2500000000	42.875
4.000000       16.0000000000	64
4.500000       20.2500000000	91.125
5.000000       25.0000000000	125
5.500000       30.2500000000	166.375
6.000000       36.0000000000	216
6.500000       42.2500000000	274.625
7.000000       49.0000000000	343
7.500000       56.2500000000	421.875
8.000000       64.0000000000	512
8.500000       72.2500000000	614.125
9.000000       81.0000000000	729
9.500000       90.2500000000	857.375
